venue,area,morning,evening,description,address,cost,phone,lat,lon,facilities,court,court_time,court_sport,hostedBy
newVenue1,Kaloor,15:30:00,15:30:00,description,address,10,123,1,1,Rest room,Court 1,01:45 PM-02:45 PM,Cricket,asd
newVenue2,Coim1,16:30:00,21:30:00,description,address,12,178,3,2347,washroom,Court 2,02:45 PM-03:45 PM,Cricket,asd
newVenue3,Coim2,17:30:00,22:30:00,description,address,23,789876,53,5634,free wifi,Court 1,03:45 PM-04:45 PM,Cricket,asd
newVenue4,Coim3,18:30:00,23:30:00,description,address,23,34533,6,969,refreshment,Court 2,04:45 PM-05:45 PM,Cricket,asd
newVenue5,Coim4,19:30:00,0:30:00,description,address,23,43412341,7,76,Rest room,Court 1,05:45 PM-06:45 PM,Cricket,asd
newVenue6,Coim5,20:30:00,1:30:00,description,address,43,6564765,7567,34609,washroom,Court 2,06:45 PM-07:45 PM,Cricket,asd
newVenue7,Perundurai,21:30:00,2:30:00,description,address,87,568576,1,780,free wifi,Court 1,07:45 PM-08:45 PM,Cricket,asd
newVenue8,kattakada,22:30:00,3:30:00,description,address,56,457456745,67,352,refreshment,Court 2,08:45 PM-09:45 PM,Cricket,asd
newVenue9,kacheripady,23:30:00,4:30:00,description,address,45,57456746797,564,6754,Rest room,Court 1,09:45 PM-10:45 PM,Cricket,asd
newVenue10,Kaloor,0:30:00,5:30:00,description,address,45,12313123,1,23,washroom,Court 2,10:45 PM-11:45 PM,Cricket,asd
newVenue11,Coim1,1:30:00,6:30:00,description,address,45,8678689789,45,568,free wifi,Court 1,11:45 PM-12:45 AM,Cricket,asd
newVenue12,Coim2,2:30:00,7:30:00,description,address,45,34242234,765467,98,refreshment,Court 2,12:45 AM-01:45 AM,Cricket,asd
newVenue13,Coim3,3:30:00,8:30:00,description,address,78,12346744,546456,67,Rest room,Court 1,01:45 AM-02:45 AM,Cricket,asd
newVenue14,Coim4,4:30:00,9:30:00,description,address,32,35434367890,6456,4312,washroom,Court 2,02:45 AM-03:45 AM,Cricket,asd
newVenue15,Coim5,5:30:00,10:30:00,description,address,43,987654332,578,7698,free wifi,Court 1,03:45 AM-04:45 AM,Cricket,asd
newVenue16,Perundurai,6:30:00,11:30:00,description,address,45,9857890354,2347,6789,refreshment,Court 2,04:45 AM-05:45 AM,Cricket,asd
newVenue17,kattakada,7:30:00,12:30:00,description,address,86,7897745411,58,364,refreshment,Court 1,05:45 AM-06:45 AM,Cricket,asd
,,,,,,,,,,,,,,
